Product Name,Brand,Category,Sub Category,Rating,rev
Regenerist RETINOL 24 Night Eye Cream Pelembab Krim Mata,Olay,Eye Care,eye-cream,4.6,Pake ini krn uda memutuskan buat ganti semua treatment-ku ke retinol cz someone says retinol does it all so i do love retinol so much?. Aku pake ini tp efeknya belum terlalu keliatan krn aku pakenya seingetku aja dan emg kalo pake retinol itu kuncinya sabar
Growcara Clumpfree Fiber Serum Mascara + Biotine & Peptide,Mad For Makeup,Eye Care,eyelash-serum,4.4,"Mascara ini bakal cocok buat yg suka natural look, as if my lash but better(??)? not clumpy at all dan lumayan bisa di build up. Menurutku lebih bikin bulmat lentik panjang gt daripada bervolume. 
Untuk kandungan serumnya tampaknya ngaruh di aku, bulmat keliatan jadi lebih tebel dan panjang. Its also long-wearing tapi masih gampang dihapus, which is a plus for me! Overall ‘issa really great product!!??"
Pack Sheet Eyes,DHC,Eye Care,eye-mask,4.2,"claim nya bisa Rejuvenate tired eyes, brighten and comfort, tired, weary eyes, namun di aku efeknya cuma melembabkan aja. 
harganya bit pricey sebenernya, untuk repurchase, masih mikikir2 mending beli eye cream :p"
Steam Eye Mask Moomin 5pcs - Forest Scent,MegRhythm,Eye Care,eye-mask,4.7,ini produk kesayangan aku. membantu banget supaya cepet tidur bikin mata relax dan seger. panasnya pas dan baunya enaak banget. serius varian moomin ini bau nya paling enak
Ultimune Eye Power Infusing Eye Concentrate,Shiseido,Eye Care,eye-cream,3.7,"Doesn’t work for my puffy eyes–mata ku kayak gak ada beda sebelum dan sesudah pake ini?
Dan gak tau gara2 pake ini atau gak malah jadi muncul 1 milia di mata kiri. Disappointing especially with that price tag i expected waayy more from Shiseido."
Benefiance Wrinkle Smoothing Eye Cream,Shiseido,Eye Care,eye-cream,3,"Saya sudah pakai 1 bulan lebih, dan efek mengencangkan belum saya rasakan. Yang saya rasakan hanya kulit di area mata jadi lebih moisturized saja, which also not bad. Saya pakai juga di area yang sering kering, seperti samping hidung dan area dekat bibir. Packaging dalam jar kaca yang agak berat untuk dibawa-bawa traveling, dilengkapi spatula untuk mengambil product nya.
Repurchase? Maybe not, karena penasaran mencoba product lain."
Age Corrector Firming Eye Cream 15g - Peptides & Pro-Retinol,Erha,Eye Care,eye-cream,4.4,"awalnya pake numpang skincarenya mama sih tapi kok mantul ya wkwkwk bener-bener ngurangin kehitaman sekitar mata, bangun tidur keliatan agak lebih fresh aja gitu walopun malemnya tidurnya kurang, overall ok bgt?"
Bird's Nest W+ Eye Cream,SNP,Eye Care,eye-cream,4.5,"sejauh ini bagus sih.. lingkaran bawah mata berkurang.. tapi ya itu..aku pemalas make nya..hehehe.. tapi waktu aku rajin make, seriusan work it sih..."
Hibiscus Firming Eye Serum,I trust nature,Eye Care,eye-serum,4.5,"sejauh ini selama pemakaian yang dirasa area disekitar mata jauh lebih lembab, untuk memudarnya kehitaman belum terlihat karena pemakaian yang baru, hanya saja untuk melembab bisa bangett dicobain"
Lightening hydrogel patch,Maska,Eye Care,eye-mask,4.4,"Eye patch ini saat dipakai segar dan lumayan melembabkan, tapi untuk mencerahkan kantung mata yang gelap masih kurang maksimal ya, tekstur patch nya kenyal tidak terasa begitu berat saat dipakai dan aku paling suka karena dia ada Glitter cantik, packaging dari plastik dan sama seperti eyepatch pada umumnya, Harga nya lumayan mahal buat aku walaupun masih diskon tetap terasa mahal hehe"
Aqua Blue hydrogel Patch,Maska,Eye Care,eye-mask,4.5,"Eyepatch favorite bangett!! Calming banget pas dipake, udahnya mata langsung seger. Buat yg punya puffy eyes dan lagi nyari eyepatch please banget harus coba ini!!"
Eye Feel Good Gel Crème,Innertrue,Eye Care,eye-cream,4.3,beli ini karena mengandung banyak peptide yang bermanfaat buat kantong mata. teksturnya gel ringan yang mudah diaplikasikan dan cepet nyerap. buat fine lines nya sih belum keliatan perubahan karena emang jadwal tidurnya yang belum sehat. tapi ini melembabkan banget dan ada sensasi dingin di sekitar mata. nggak bikin milia juga.
Erha 21 Active Eye Firmer,Erha,Eye Care,eye-cream,4.2,"Lumayan bisa mengurangi garis halus,dan bisa melembabkan daerah bawah mata.bisa mengurangi area gelap di bawah mata juga,jadi lebih cerah.Sebelumnya udah pernah beli di counternya langsunf,berhubung di sociolla jual jadi lebih gampang buat ordernya.tq sociolla kesayangan aku"
Soothing Ageless hydrogel patch,Maska,Eye Care,eye-mask,4.3,Pertamanya beli krn lg sale 20% ? trus mikirnya ok lah coba buat ngilangin puffy2 eyes aja gt. Trus kakak BA nya bilang and nyaranin krn di soco daerah aku ini produck abis dan restock terus katanya. Jd penasaran. Eh ga taunya bener bagus dong. Ini udah pembelian kedua kok berasanya linesnya berasa berkurang ya. Pdhl eye cream aku masi sama merk. Saran buat temen2 yang ngerasa jatoh2 - pakenya pas pagi abis cuci muka bersih dan lg gak oily. Nempel deh trus ngilangin puffy eyes jg bangun tidur. Recommended ??
Eye Serum,Raiku,Eye Care,eye-serum,4.5,"aku pakai ini lumayan lama cuma ga ada perubahan yang signifikan sih kalau untuk dark circle di bawah mata, cuma kalau untuk melembabkan ya lumayan oke lah."
Warming Eyemask - Lavender Blue Water (5PCS),Steambase,Eye Care,eye-mask,4.6,"jujur bau elemen pemansnya lbih strong dripd lavendernya. jdi sebenarnya milih varian apapun pun sama aja. aku sih lbih rekomen yg chamamoile atau yg silent night air, baunya ga gitu nyegat. kl yg lavender, mmg bisa kecium, cuma kadang kadang pas pake itu kerasa bgt bau lavendernya kyk berantem sama bau penghangatnya. ga klop gt loh. kl buat efektivitas sih sip sih. hanget, ga panas. kl mau lebih panas dikit bisa pake kain yg super tipis buat ngebungkusin kyk mumi gt. uapnya jdi ga kemana mana, jadi lbih hanget. rekomended sih cuma bocoran dikit, ada yg lebih murah di sociolla dri merek lain. mungkin boleh tes yg itu."
Green Tea Seed Eye & Face Ball,Innisfree,Eye Care,eye-cream,5,"bagus banget mata sudah langsung terlihat lebih segar, lembab, dan sehat, tekstur yang ringan dan tidak lengket sama sekali membuat nyaman ketika dipakai"
COLLAGEN CRYSTAL 24K GOLD PURE LUXURY EYE MASK,Focallure,Eye Care,eye-mask,4.4,"untuk effective mgkn mesti berulang kali pake ya berhubung ini masker, tapi untuk pemakaian enak dan pastinya akan lebih enak lg kalo masker ini masuk ke dalam kulkas."
COLLAGEN CRYSTAL HYDRA-GEL EYE MASK,Focallure,Eye Care,eye-mask,4.5,"kalo mau ngmg effective mgkn ga bisa dinilai ya berhubung masker harus dgn pemakaian jangka panjang, tapi ini enak dipake dan mgkn akan lebih enak dipake lg kalo dimasukin ke kulkas dlu."
Age Miracle Eye Serum Mask,Pond's,Eye Care,eye-serum,4.8,"suka banget sama produk ponds yang ini
masker terekomendasi deh 
top markotop
??????????????????????????????????????"
L'Oreal Paris Revitalift Triple Action Day Cream,Loreal Paris,Eye Care,eye-cream,4.5,"I actually bought this for my mom. Kulit ibuku kering dan jarang cocok sama krim-krim gini, but she has been loving this cream since day 1! Dia bilang, krim ini membantu dia untuk mengurangi anti-aging, dan melembabkan kulit ibuku juga. One thing, about the packaging yang kurang travel friendly, dan terlalu bulky gitu."
Misa Yei Hyun Eye Cream,Missha,Eye Care,eye-cream,4.3,"Beli ini pas dpt diskon. Packingnya bagus, kelihatan mewah. Teksurnya agak thick tp lumayan cepet menyerap. Untuk efeknya sendiri cukup melembabkan, tp untuk kerut atau mata panda blm ada efeknya."
Eye Essential Serum,The Bath Box,Eye Care,eye-serum,4.4,"tekstur cukup light dan terasa cepat menyerap ke kulit. 
tapi packaging nya agak kurang hygiene krn ga ada segel ataupun seal buat pastiin belum pernah kebuka isinya ;("
Truwhite Algae Complex & Cucumber Extract Brightening Eye Serum,Erha,Eye Care,eye-serum,4.5,"Sebenernya suka sih sama si erha eye cream ini tapi harganya hehehehehehehe lumayan mahal ya. ubtuk hasil sebenernya juga ga yg waw bngt karena belum keliatan nih di mata aku meskipun udh penggunaan sebulan, padahal aku juga pakai eye mask, ga kurang air putih dan udh ga begadang tapi mungkin memang perlu proses cukup lama untuk mata hitamku"
Eye-ner-gizer Eye Cream / Mask,Feat for Skin,Eye Care,eye-mask,4.7,enak banget dipake dingin n segar dimata harga cocok utk kantong kita kulit jadi lbh kencang udah pembelian ke 3 suka banget ama ini product karena bisa ngurangin area gelap disekitar mata.
Marine Care Eye Cream,HEIMISH,Eye Care,eye-cream,4.8,"Finally I can buy this at Sociolla! Best eye cream so far for my sensitive & dry skin. Very moist, no perfume. I prefer to use it during night routine, tho, due to its thick texture."
White Truffle Multi Treatment Eye Cream,d'Alba,Eye Care,eye-cream,3.5,Saya sudah memakainya slma lebih dari 6 bulan. Dan tidak ada perubahan apa2. Mungkin cuma sebagai pelembab aja. Untuk harga pas beli lagi sale 200an.
Honey Royalactin Intensive Eye Cream,Holika Holika,Eye Care,eye-cream,4.3,"Kandungan botanical nya Fermented Honey, Royalactin, Hydrolyzed kolagen, Idebenone, Peptide, Niacinamide yang wow , dikulitku mata panda agak pudar bintik diarea mata jugapudar"
Sensibio Eye Contour Gel 15ml,Bioderma,Eye Care,eye-cream,4.3,"Makasih banyak untuk socobox x bioderma kemarin karna udah ngasih kesempatan untuk bisa cobain produk ini. Disini aku dapet 2 mini size 2 ml jadi mungil gituu terus tututpnya kayak dipotek aja gitu tapi gabisa dipasang lagi, tapi gapapa yg penting untuk size 15ml ada tutupnya hehe. Teksturnya cream tapi light bangettt kayak moist jadi cepet meresap cukup dikit aja pemakaian di ujung jari, waktu di apply kerasa banget ada sensi dingin dingin gitu. Nah untuk hasilnya so far aku ngerasa lebih lembab jadi fresh aja keliatannya, kalo untuk dark circle maupun kerutan so pasti butuh pemakaian jangka panjang ya biar maksimal. Really worth to try and to buy!"
Regenerist Revitalising Eye Serum,Olay,Eye Care,eye-serum,3.9,"Udah abis 2 tube ? bagus sih ini, aku kan mata panda banget. Karena ada genetik juga, produk ini ngebantu sih buat memudarkan. Yang disayangkan memang harganya mahal dan jarang banget diskon ? tapi pemakaian hemat kok, aku bisa 3-4 bulan baru abis 1 tube ini."
Eye Serum Mask Coconut,Garnier,Eye Care,eye-mask,4.6,"dapet ini dari socobox garnier ?
masker matanya gede banget :(, tapi bener bener bikin lembab banget habis dipakai, mata kerasa lebih hydrated dan fresh banget."
Bright Cucumber Peptide - Eye Serum Gel,Kindy Glow,Eye Care,eye-serum,4.5,"beneran deh ini produk kecantikan buat mata termurah yang aku beli, kemasannya imut-imut kayak kemasan trial/sampel tapi justru ini aku suka karena biasanya eyecreamku llama banget abisnya sampe makenya bosen. Untuk efektivitasnya menurutku biasa aja sih, untuk menyegarkan dia lumayan oke, tapi untuk mengurangi garis halus sepertinya agak kurang."
Pomegranate Eye Mask (60 Pcs),Breylee,Eye Care,eye-mask,4.3,"suka dengan aroma nya, dan pakai eye mask utk menjaga supaya jangan sampe ada eyebag tapi kalo utk memudarkan wrinkle di bwh mata sih blm ada eyemask yg bisa selama ini"
Crystallure Superme Advance Eye Serum,Wardah,Eye Care,eye-serum,4.4,"beli ini buat emak aku, buat kantung mata nya yang kaya kelelahan gitu, taapi gatau efeknya gimana, jarang dipake hehe...... gatau kalau dipakai rutin mungkin bagus ya?"
Ampoule Balm White Truffle Anti Wrinkle Cream,d'Alba,Eye Care,eye-cream,4.9,"Suka banget sama all product d Alba? Pertama kali coba D Alba yg first spray serumnya… dan bagusss bangetttt? Terus coba moisturizernya dan pilihanku ke night cream ini? Teksurnya nggak buat greasy, super nyaman dan bantu banget atasi smile line aku???"
Sekkisei Eye Cream N,KOSE,Eye Care,eye-cream,4.6,eye cream yg lumayan ampuh bikin kantung mata jadiii lumayan berkurang. aku juga ngerasa karena mataku udah lumayan lembab jadi kerutan kerutan di sekitar mata jadi berkurang dan bagian sekitar mata jadi kenceng. worth to buy bnget
LNG Perfect Renew Youth Regenerating Eye Cream(OL21),Laneige,Eye Care,eye-cream,4.6,"Saya tertipu dgn gambar gift yg terpampang di foto (hydro essence), ternyata yg dtg giftny moisture essence ?. Untuk produk eye creamny sangat bermanfaat, dari lingkaran mata yang awalnya kering, gampang iritasi, terkelupas, kemerahan dan mulai tampak keriput hilang setalah pemakaian eye cream ini."
Under Eye Supressor,Erha,Eye Care,eye-cream,4,"Eye Cream pertama dan termahal yang pernah aku beli ? Erha21 Under Eye Suppressor, tekstur nya gel, cepat menyerap ke kulit dan warna nya agak kekuningan. Produk ini claim nya menyamarkan lingkaran hitam mata dan merawat kekencangan kulit di area mata tapi aku merasa ini gak ngefek di aku. Aku pakai nya juga gak rutin soalnya kadang mata aku kerasa gatal gitu, mungkin kulit di area mata aku rada sensitif padahal di produk nya bilang for ALL SKIN TYPE. Menurut aku gak sesuai sih buat harga yang semahal itu dengan hasil yang didapatin."
Fresh Herb Origin Eye Cream,Nacific,Eye Care,eye-cream,4.6,"Very moisturizing, berasa very plump dan seger banget ketika pagi pas dipake malamnya. Tekstur gel yang cenderung thick dan sedikit lengket, tapi ngga ganggu sih, malah berasa hydrating."
Phyto Natural Enrich Wrinkle & Whitening Eye Serum,Osho,Eye Care,eye-serum,4.3,"Iseng² cari eye cream di so.co dan terjodohlah dg produk ini. Texturenya gel, tidak bening, ada sensasi dingin ketika digunakan dan sedikit cair, namun jgn khawatir jika masuk kemata kita, ada perih sedikit namun masih dlm hitungan aman. Beli ketika promo dan hampir 3 bulan pemakaian barulah habis, padahal dipakai 2x sehari, itu karena dipakai sedikit saja sudah mengcover area mata kita. Apakah eyecream ini melembabkan? YES. Apakah eyecream ini mencerahkan, dan membantu menghilangkan dark cicle disekitaran mata kita? NO, tdk menghilangkan namun dpt membantu memudarkan. Berdasarkan pengalaman saya, area bawah mata saya menjadi lebih cerah. Apakah mampu menghilangkan keriput disekitar area mata kita? NO, maksudnya krn area mata saya tdk memiliki keriput yg berlebihan, di usia sya yg blm masuk kepala 3, jdi tdk bisa memberikan jawaban yg pasti, yg bisa saya jamin setelah pemakaian eyecream ini selama hampir 3 bulan (habis 1 botol) area mata saya jd lebih cerah dan tidak kering ??"
Peptide Eye Cream,The Aubree,Eye Care,eye-cream,4.1,"Eye cream yang ada kandungan peptide untuk kerutan dan mata panda cocok untuk segala usia bisa di gunakan untuk pagi dan malam hari ,,,,,,,,,,,,,,,,,,"
Eye Glaze Gel,Jarte Beauty,Eye Care,eye-cream,4.5,"salah satu eye gel ternyaman yg pernah kupake, tekstur gel nya bikin dia cpt nyerep dan adem"" gt pas dipake pake aplikator nya, cukup untuk melembabkan area mata, ga bikin milia, untuk progress mencerahkan, ngilangin puffiness kurasa paling nggak butuh waktu sebulan atau bahkan habisin 1 tube dulu (:"
Age Corrector Eye Serum,Erha,Eye Care,eye-serum,4.9,Bagus banget eyecreamnya sangat cocok untuk mata panda dibawah lipatan mata banyak ooorang review katanya bagus dan wajib direpurchase ulang ulang kali
Age Miracle Eye Cream,Pond's,Eye Care,eye-cream,4.4,"jujur aku orangnya tuh suka banget begadang. dan itu bikin mataku jadi mata panda dan serem euy?.
bersyukur ketemu sama ponds age miracle eye cream ini. selain bisa ngilangin mata panda, eye cream ini juga bisa mencegah kerutan di mata
wangi nya enak,tekstur nya aku suka."
Peptide Eye Cream Gel,Everwhite,Eye Care,eye-cream,4.6,aplikatornya sangat membantu untuk mengaplikasikan eye cream ini. baru pake seminggu jd belum terlalu kentara hasilnya. untuk teksturnya sih enak dan aku taronya di kulkas biar dingin gitu pas dipakai
Serum Mata Roll On Retinol - Menyamarkan Kerutan Halus,Breylee,Eye Care,eye-serum,4.4,"Rada kaget masuk ke sociolla juga akhirnya. 
Beli serum mata ini udh lama dan hasilnya adalah mataku yg tadinya ga punya milia jadi muncul 2?. Ga bikin plumpy area bawah mata. Utk dari circle krn emang ga punya jd ga tau ngaruh apa ngga. Walhasil krn ga mau nambah milia jd  makin banyak. lsg Stop  
klo texture dingin sih krn bolanya itu dari metal bahannya. Tp ga ada pengaruh apa2 di mata saya. 
mungkin mata saya aja yg demanding?"
YOU Advanced Youth Recharging Peptide Eye Cream,YOU Beauty,Eye Care,eye-cream,4.8,"Ini salah satu eye cream ternyaman yg pernah aku punya! packaging nya cantik, aplikator nya nyaman, produknya ga gampang luber(jadi jumlah penggunaannya bisa di kontrol), gampang meresap ke kulit, gak lengket, gak ngasi efek ""berat"" setelah digunakan. Manfaat nya juga gak main-main, sensasi dingin dari aplikator nya bikin puffy eyes ku mendingan bangett<3"
Warming Eyemask - Rose Garden (5PCS),Steambase,Eye Care,eye-mask,4.6,"mirip dgn merek jepang si meg, tapi lebih banyak pilihan wangi. wangi nya rose dan gak trlalu overpowering dan gak terlalu soft juga. cocok banget dipake malem or subuh2 selesai lembur, mata nya langsung istirahat dan dapet wangi dari masker nya untuk relax. kadang masker nya bisa berasa terlalu panas, saat terasa terlalu panas, bisa di longgarkan atau di pakai nya tidak tepat di mata"
Warming Eyemask - Grapefruit Tree (5PCS),Steambase,Eye Care,eye-mask,4.7,Steambase ini cocok digunakan semua jenis kulit dan sangat membantu segala problem mata ku yanv lelah dan kering . aroma Jeruk Bali yang segar tapi tetap lembut dengan varian Grapefruit tree.
Warming Eyemask - Camomile Crown,Steambase,Eye Care,eye-mask,4.7,Penggunaan ketika mata super lelah karena banyak pekerjaan dan tugas yang dilakukan depan layar laptop dan HP. Hangat yang dihasilkan cenderung panas sehingga diawal pemakaian perlu mengatur posisi untuk disesuaikan panasnya. Aroma chamomile menenangkan tanpa memberi kesan berlebihan hingga menusuk hidung. Menarik untuk dicoba ketika mata lelah karena mampu merilekskan otot2 mata yang tegang dan memberi efek menenangkan karena aroma chamomilenya.
Golden Age Energizing Eye Cream,YOU Beauty,Eye Care,eye-cream,4.3,"produknya you golden ace itu unik dan lucu kemasanny seperti emas,, cocok untuk saya di pake hari pagi dan malam ..  klo habis beli lagi cusss untuk stok hehehe"
Warming Eyemask - Rose Garden,Steambase,Eye Care,eye-mask,4.8,"Sebagai mahasiswa semester tua sekaligus pekerja kantoran, steambase warming eye mask ini recommended banget karena mataku sering lelah setelah beraktifitas. aroma rose gardennya bikin relax, hangatnya pas nggak terlalu panas, ini recommended banget pokoknya!"
Warming Eyemask - Silent Night Air,Steambase,Eye Care,eye-mask,4.6,"Steam mask pertama aku dari steambase, eyemask ini lagi hype banget di korea ya.. Tapi jujur pas aku pake beneran anget dong dan bikin relax..untuk wanginya aku suka karena gak strong. Jadi masih aman banget di gunakan. Dan produknya juga cukup lembut enak pas di tempel di mata. Di pakenya cuma 20 menit kan? Tapi malam pas pake malah ketiduran ? saking enaknya"
Eye Serum Mask Orange,Garnier,Eye Care,eye-mask,4.6,"Iseng beli ini buat ilangin kantong mata ternyata emang bisa memudarkan pdhl bru pake sekali, apalagi klo di pake rutin? enak bgt dipake, bkin mata jd seger lagi,"
Peptide Eye Cream,White Story,Eye Care,eye-cream,4.5,"akhirnya setelah sekian bulan pemakaian, lebih tepatnya sekitar 3 bulan lebih pakai produk ini dan tbh aku sukaaaa bgtttt!! first impression aku sama teksturnya itu warnanya putih dan water-based, mudah menyerap dan baunya itu aroma tipis tipis gitu. Dari applyingnya, aku pakai sedikit aja, sebesar beras kali yah. aku rutin pakai 2 kali sehari, pagi dan sebelum tidur. Hasilnya, lingkar hitam bawah mata berkurang bgt. soal harga juga masih affordable jadi rekomen bgt sih pakai ini!"
PREP Peptaronic Eye Cream,SNP,Eye Care,eye-cream,5,"Ukurannya beda dari yang lain, gede bgt super jumbo, pake sebiji kacang ijo aj udh bisa sampe seluruh area mata, afternya mata jadi terasa lebib lembap dan kencang"
Advanced Snail Hydrogel Eye Patch,COSRX,Eye Care,eye-mask,4.2,"Produknya lucu ada 2 varian, bisa buat bawa mata dan dahi, ada alat penjepit buat ambil produknya jd higienis, warnanya bening, transparans, banyak banget isinya, melembabkan area mata, dan bikin adem ?"
Polypeptide Eye Gel Cream,Votre Peau,Eye Care,eye-cream,4.3,"Suka deh sama tekstur eye cream ini, creamnya ga lengket, kerasa ademnya, cepat meresap dan yang paling penting ga bikin mataku perih. Udah pake ini sebulanan, efeknya kerasa banget kalo aku begadang, biasanya bangun tidur ada eye bag, setelah pake eye cream ini mata aman. Packagingnya juga oke, ada tutup pembatas biar isinya ga mleber ke tutup jarnya."
Eye Power Serum Concentrate,NPure,Eye Care,eye-serum,4.8,"npure ga pernah ngecewain sih, aku udah pake ini 2 mingguan kerutan di area mata bener2 memudar. pastinya mau lanjut pemakaian biar tetep awet muda dong!"
Blessing Of Sprout Eye Cream,Hayejin,Eye Care,eye-cream,4.6,"isinya banyak bangett, mana tiap pake cumsn dikit dikit. beli ini karena suhay salim, tapi aku tidak kecewa. walaupun hasil eyecream tuh keliatan 5-6 minggu, di minggu ke-2 aku pake ini rutin pagi malem udah lumayan kerasa cerahan dark circle aku (walaupun begadang ttp jalan). cinta dehh pokonya"
Hi! Bright Eye Gel Crème,Joylab,Eye Care,eye-cream,4.5,"Teksturnya gel ringan yang cepat meresap dan gak bikin perih di mata, plus wanginya enak kayak ada citrus. Btw aku udah pake hampir satu bulan, efeknya bawah mataku jauh lebih cerah dari sebelumya."
Warming Eyemask - Lavender Blue Water,Steambase,Eye Care,eye-mask,4.7,Varian Steambase yang aroma lavendernya segar banget udah gitu bisa merelaksasikan mata lelah dan kering dari segala aktivitas di depan layar gadget.
Eyes On You,True To Skin,Eye Care,eye-cream,4.6,"Yey udah sampai eye serumnya, senang banget kesampaian beli. Semoga cocok di eye bag dan mata panda aku yg super kentara??. Ganggu banget kalo lagi makeup"
Warming Eyemask - Grapefruit Tree,Steambase,Eye Care,eye-mask,4.7,"semalam baru coba, dan bagus! menenangkan aja pakai ini? overall oke cuman kurang suka dengan aroma nya. Sudah pernah coba semua varian, but my favorite is still LAVENDER~?"
Nutrilash Eyelash & Eyebrow Serum,Nutrishe,Eye Care,eyelash-serum,4.5,"Pertama kali coba eyelash serum itu merek Nutrilash dari Nutrishe, dan buatku dia ngga bikin bulumata itu panjang tp lentik dan ngisi yang kosong serta nebelin alis, bulumata jg jadi lebih thick dan hitam gtu jd lebih bervolume ya bukan manjangin, dan menurutku isi 15ml dgn harga 50k ini worth, teksturnya jg ga se cair pertama beli, kalo dulu kena mata pun perih kalo sekarang karna formulanya udh ditambah jd ga sakit sama sekali di mata. oiya dapet aplikatornya juga ya di dalem boxnya??? progressnya 1 mingguan udh keliatan di aku"
Snail Bee Ultimate Eye Cream,Benton,Eye Care,eye-cream,4.5,"Dari sekian banyak eye cream yang pernah aku coba paling suka dengan tekstur dari eyecream ini, watery gak terlalu padat, mudah meresap, gak ninggalin white cast, terbaik pokoknya"
Serum Mata Roll On Vitamin C - Mencerahkan,Breylee,Eye Care,eye-serum,4.3,"aku pakai breylee ini 2 variannya aku coba karena terasa saling melengkapi yang serum ini mengandung vitamin C yang satunya lagi mengandung retinol, sangat efektif untuk keluhan kulit sekitar mata, rekomen banget"
Advance Action Eye Ampoule,Avoskin,Eye Care,eye-serum,4.4,"Sadar karena bawah mataku sudah nampak garis halus, sedikit gelap dan kering, aku pakai ini untuk mengatasinya. Kemasan botolnya sudah di lengkapi dengan pump. Texturenya kayak gel, warnanya bening Aku rutin pakai pagi dan malam, dalam keadaan kulit yang lembab setelah pengunaan skincare wajah, terakhir aku pakai ini, takarannya secukupnya jangan terlalu banyak nanti bisa pilling gitu, lalu di tap tap lembut dengan jari. Awal pemakaian ada rasa sensasi dinginnya, efeknya langsung berasa, area mata jadi lembab, dan tidak menimbulkan milia. Pemakaian sudah 20 hari dan it's work on me, temen-temenku juga notice perubahan di bawah mataku, jadi agak cerah dan garis halus perlahan memudar, amaze banget sama produk lokal ini, pastinya aku akan terus memakai ini untuk regimen ku.. Untuk repurchase: absolutely yes"
